Tanggal,Kasus
18-Mar-2020,8
19-Mar-2020,9
20-Mar-2020,15
21-Mar-2020,26
22-Mar-2020,41
23-Mar-2020,41
24-Mar-2020,51
25-Mar-2020,51
26-Mar-2020,59
27-Mar-2020,66
28-Mar-2020,77
29-Mar-2020,90
30-Mar-2020,91
31-Mar-2020,93
1-Apr-2020,104
2-Apr-2020,104
3-Apr-2020,155
4-Apr-2020,152
5-Apr-2020,188
6-Apr-2020,189
7-Apr-2020,194
8-Apr-2020,196
9-Apr-2020,223
10-Apr-2020,256
11-Apr-2020,267
12-Apr-2020,386
13-Apr-2020,440
14-Apr-2020,475
15-Apr-2020,499
16-Apr-2020,514
17-Apr-2020,522
18-Apr-2020,555
19-Apr-2020,590
20-Apr-2020,590
21-Apr-2020,603
22-Apr-2020,638
23-Apr-2020,664
24-Apr-2020,690
25-Apr-2020,770
26-Apr-2020,785
27-Apr-2020,796
28-Apr-2020,857
29-Apr-2020,872
30-Apr-2020,958
1-May-2020,1034
2-May-2020,1037
3-May-2020,1117
4-May-2020,1124
5-May-2020,1171
6-May-2020,1221
7-May-2020,1267
8-May-2020,1284
9-May-2020,1419
10-May-2020,1502
11-May-2020,1536
12-May-2020,1669
13-May-2020,1772
14-May-2020,1863
15-May-2020,1921
16-May-2020,2105
17-May-2020,2152
18-May-2020,2296
19-May-2020,2377
20-May-2020,2496
21-May-2020,2998
22-May-2020,3129
23-May-2020,3595
24-May-2020,3663
25-May-2020,3886
26-May-2020,3943
27-May-2020,4142
28-May-2020,4313
29-May-2020,4414
30-May-2020,4613
31-May-2020,4857
1-Jun-2020,4922
2-Jun-2020,5135
3-Jun-2020,5318
4-Jun-2020,5408
5-Jun-2020,5549
6-Jun-2020,5835
7-Jun-2020,5948
8-Jun-2020,6313
9-Jun-2020,6533
10-Jun-2020,6806
11-Jun-2020,7103
12-Jun-2020,7421
13-Jun-2020,7597
14-Jun-2020,7793
15-Jun-2020,8063
16-Jun-2020,8308
17-Jun-2020,8533
18-Jun-2020,8917
19-Jun-2020,9057
20-Jun-2020,9451
21-Jun-2020,9542
22-Jun-2020,9857
23-Jun-2020,10115
24-Jun-2020,10298
25-Jun-2020,10545
26-Jun-2020,10901
27-Jun-2020,11178
28-Jun-2020,11508
29-Jun-2020,11805
30-Jun-2020,12136
1-Jul-2020,12321
2-Jul-2020,12695
3-Jul-2020,13048
4-Jul-2020,13461
5-Jul-2020,14013
6-Jul-2020,14321
7-Jul-2020,14601
8-Jul-2020,14967
9-Jul-2020,15484
10-Jul-2020,15730
11-Jul-2020,16140
12-Jul-2020,16658
13-Jul-2020,16877
14-Jul-2020,17230
15-Jul-2020,17395
16-Jul-2020,17574
17-Jul-2020,17829
18-Jul-2020,18033
19-Jul-2020,18308
20-Jul-2020,18545
21-Jul-2020,18828
22-Jul-2020,19093
23-Jul-2020,19450
24-Jul-2020,19946
25-Jul-2020,20256
26-Jul-2020,20539
27-Jul-2020,20812
28-Jul-2020,21125
29-Jul-2020,21484
30-Jul-2020,21772
31-Jul-2020,22089
1-Aug-2020,22324
2-Aug-2020,22504
3-Aug-2020,22982
4-Aug-2020,23412
5-Aug-2020,23829
6-Aug-2020,24115
7-Aug-2020,24493
8-Aug-2020,24922
9-Aug-2020,25330
10-Aug-2020,25626
11-Aug-2020,25917
12-Aug-2020,26220
13-Aug-2020,26561
14-Aug-2020,26979
15-Aug-2020,27415
16-Aug-2020,27903
17-Aug-2020,28239
18-Aug-2020,28551
19-Aug-2020,28886
20-Aug-2020,29257
21-Aug-2020,29715
22-Aug-2020,30036
23-Aug-2020,30315
24-Aug-2020,30635
25-Aug-2020,30998
26-Aug-2020,31329
27-Aug-2020,31696
28-Aug-2020,32113
29-Aug-2020,32754
30-Aug-2020,33220
31-Aug-2020,33543
1-Sep-2020,33893
2-Sep-2020,34278
3-Sep-2020,34655
4-Sep-2020,35005
5-Sep-2020,35331
6-Sep-2020,35634
7-Sep-2020,35941
8-Sep-2020,36342
9-Sep-2020,36712
10-Sep-2020,37093
11-Sep-2020,37455
12-Sep-2020,37839
13-Sep-2020,38088
14-Sep-2020,38431
15-Sep-2020,38809
16-Sep-2020,39181
17-Sep-2020,39508
18-Sep-2020,39993
19-Sep-2020,40372
20-Sep-2020,40708
21-Sep-2020,41076
22-Sep-2020,41417
23-Sep-2020,41755
24-Sep-2020,42098
25-Sep-2020,42391
26-Sep-2020,42670
27-Sep-2020,42890
28-Sep-2020,43174
29-Sep-2020,43450
30-Sep-2020,43744
1-Oct-2020,44058
2-Oct-2020,44341
3-Oct-2020,44649
4-Oct-2020,44898
5-Oct-2020,45135
6-Oct-2020,45417
7-Oct-2020,45748
8-Oct-2020,46095
9-Oct-2020,46405
10-Oct-2020,46715
11-Oct-2020,46984
12-Oct-2020,47280
13-Oct-2020,47595
14-Oct-2020,47894
15-Oct-2020,48161
16-Oct-2020,48452
17-Oct-2020,48690
18-Oct-2020,48932
19-Oct-2020,49174
20-Oct-2020,49474
21-Oct-2020,49801
22-Oct-2020,50069
23-Oct-2020,50364
24-Oct-2020,50653
25-Oct-2020,50921
26-Oct-2020,51217
27-Oct-2020,51506
28-Oct-2020,51752
29-Oct-2020,52020
30-Oct-2020,52242
31-Oct-2020,52465
1-Nov-2020,52718
2-Nov-2020,53002
3-Nov-2020,53274
4-Nov-2020,53513
5-Nov-2020,53791
6-Nov-2020,54080
7-Nov-2020,54349
8-Nov-2020,54631
9-Nov-2020,54865
10-Nov-2020,55137
11-Nov-2020,55305
12-Nov-2020,55575
13-Nov-2020,55814
14-Nov-2020,56070
15-Nov-2020,56287
16-Nov-2020,56551
17-Nov-2020,56757
18-Nov-2020,57237
19-Nov-2020,57662
20-Nov-2020,58041
21-Nov-2020,58384
22-Nov-2020,58679
23-Nov-2020,59044
24-Nov-2020,59398
25-Nov-2020,59800
26-Nov-2020,60190
27-Nov-2020,60618
28-Nov-2020,61071
29-Nov-2020,61483
30-Nov-2020,61883
1-Dec-2020,62313
2-Dec-2020,62773
3-Dec-2020,63337
4-Dec-2020,63901
5-Dec-2020,64440
6-Dec-2020,65012
7-Dec-2020,65557
8-Dec-2020,66099
9-Dec-2020,66817
10-Dec-2020,67613
11-Dec-2020,68361
12-Dec-2020,69130
13-Dec-2020,69921
14-Dec-2020,70634
15-Dec-2020,71369
16-Dec-2020,72124
17-Dec-2020,72979
18-Dec-2020,73798
19-Dec-2020,74550
20-Dec-2020,75274
21-Dec-2020,76111
22-Dec-2020,76817
23-Dec-2020,77651
24-Dec-2020,78385
25-Dec-2020,79207
26-Dec-2020,80010
27-Dec-2020,80748
28-Dec-2020,81532
29-Dec-2020,82321
30-Dec-2020,83217
31-Dec-2020,84152
1-Jan-2021,85039
2-Jan-2021,85762
3-Jan-2021,86361
4-Jan-2021,87070
5-Jan-2021,87797
6-Jan-2021,88642
7-Jan-2021,89590
8-Jan-2021,90615
9-Jan-2021,91609
10-Jan-2021,92613
11-Jan-2021,93405
12-Jan-2021,94249
13-Jan-2021,95064
14-Jan-2021,96045
15-Jan-2021,97243
16-Jan-2021,98403
17-Jan-2021,99377
18-Jan-2021,100225
19-Jan-2021,101197
20-Jan-2021,102152
21-Jan-2021,103286
22-Jan-2021,104342
23-Jan-2021,105261
24-Jan-2021,106162
25-Jan-2021,107050
26-Jan-2021,108017
27-Jan-2021,109081
28-Jan-2021,110103
29-Jan-2021,111109
30-Jan-2021,111939
31-Jan-2021,112795
