Tanggal,Kasus
18-Mar,8
19-Mar,9
20-Mar,15
21-Mar,26
22-Mar,41
23-Mar,41
24-Mar,51
25-Mar,51
26-Mar,59
27-Mar,66
28-Mar,77
29-Mar,90
30-Mar,91
31-Mar,93
1-Apr,104
2-Apr,104
3-Apr,155
4-Apr,152
5-Apr,188
6-Apr,189
7-Apr,194
8-Apr,196
9-Apr,223
10-Apr,256
11-Apr,267
12-Apr,386
13-Apr,440
14-Apr,475
15-Apr,499
16-Apr,514
17-Apr,522
18-Apr,555
19-Apr,590
20-Apr,590
21-Apr,603
22-Apr,638
23-Apr,664
24-Apr,690
25-Apr,770
26-Apr,785
27-Apr,796
28-Apr,857
29-Apr,872
30-Apr,958
1-May,1034
2-May,1037
3-May,1117
4-May,1124
5-May,1171
6-May,1221
7-May,1267
8-May,1284
9-May,1419
10-May,1502
11-May,1536
12-May,1669
13-May,1772
14-May,1863
15-May,1921
16-May,2105
17-May,2152
18-May,2296
19-May,2377
20-May,2496
21-May,2998
22-May,3129
23-May,3595
24-May,3663
25-May,3886
26-May,3943
27-May,4142
28-May,4313
29-May,4414
30-May,4613
31-May,4857
1-Jun,4922
2-Jun,5135
3-Jun,5318
4-Jun,5408
5-Jun,5549
6-Jun,5835
7-Jun,5948
8-Jun,6313
9-Jun,6533
10-Jun,6806
11-Jun,7103
12-Jun,7421
13-Jun,7597
14-Jun,7793
15-Jun,8063
16-Jun,8308
17-Jun,8533
18-Jun,8917
19-Jun,9057
20-Jun,9451
21-Jun,9542
22-Jun,9857
23-Jun,10115
24-Jun,10298
25-Jun,10545
26-Jun,10901
27-Jun,11178
28-Jun,11508
29-Jun,11805
30-Jun,12136
1-Jul,12321
2-Jul,12695
3-Jul,13048
4-Jul,13461
5-Jul,14013
6-Jul,14321
7-Jul,14601
8-Jul,14967
9-Jul,15484
10-Jul,15730
11-Jul,16140
12-Jul,16658
13-Jul,16877
14-Jul,17230
15-Jul,17395
16-Jul,17574
17-Jul,17829
18-Jul,18033
19-Jul,18308
20-Jul,18545
21-Jul,18828
22-Jul,19093
23-Jul,19450
24-Jul,19946
25-Jul,20256
26-Jul,20539
27-Jul,20812
28-Jul,21125
29-Jul,21484
30-Jul,21772
31-Jul,22089
1-Aug,22324
2-Aug,22504
3-Aug,22982
4-Aug,23412
5-Aug,23829
6-Aug,24115
7-Aug,24493
8-Aug,24922
9 Aug,25330
10 Aug,25626
11 Aug,25917
12 Aug,26220
13 Aug,26561
14 Aug,26979
15 Aug,27415
16 Aug,27903
17 Aug,28239
18 Aug,28551
19 Aug,28886
20 Aug,29257
21 Aug,29715
22 Aug,30036
23 Aug,30315
24 Aug,30635
25 Aug,30998
26 Aug,31329
27 Aug,31696
28 Aug,32113
29 Aug,32754
30 Aug,33220
31 Aug,33543
1 Sep,33893
2 Sep,34278
3 Sep,34655
4 Sep,35005
5 Sep,35331
6 Sep,35634
7 Sep,35941
8 Sep,36342
9 Sep,36712
10 Sep,37093
11 Sep,37455
12 Sep,37839
13 Sep,38088
14 Sep,38431
15 Sep,38809
16 Sep,39181
17 Sep,39508
18 Sep,39993
19 Sep,40372
20 Sep,40708
21 Sep,41076
22 Sep,41417
23 Sep,41755
24 Sep,42098
25 Sep,42391
26 Sep,42670
27 Sep,42890
28 Sep,43174
29 Sep,43450
30 Sep,43744
1 Oct,44058
2 Oct,44341
3 Oct,44649
4 Oct,44898
5 Oct,45135
6 Oct,45417
7 Oct,45748
8 Oct,46095
9 Oct,46405
10 Oct,46715
11 Oct,46984
12 Oct,47280
13 Oct,47595
14 Oct,47894
15 Oct,48161
16 Oct,48452
17 Oct,48690
18 Oct,48932
19 Oct,49174
20 Oct,49474
21 Oct,49801
22 Oct,50069
23 Oct,50364
24 Oct,50653
25 Oct,50921
26 Oct,51217
27 Oct,51506
28 Oct,51752
29 Oct,52020
30 Oct,52242
31 Oct,52465
1 Nov,52718
2 Nov,53002
3 Nov,53274
4 Nov,53513
5 Nov,53791
6 Nov,54080
7 Nov,54349
8 Nov,54631
9 Nov,54865
10 Nov,55137
11 Nov,55305
12 Nov,55575
13 Nov,55814
14 Nov,56070
15 Nov,56287
16 Nov,56551
17 Nov,56757
18 Nov,57237
19 Nov,57662
20 Nov,58041
21 Nov,58384
22 Nov,58679
23 Nov,59044
24 Nov,59398
25 Nov,59800
26 Nov,60190
27 Nov,60618
28 Nov,61071
29 Nov,61483
30 Nov,61883
1 Dec,62313
2 Dec,62773
3 Dec,63337
4 Dec,63901
5 Dec,64440
6 Dec,65012
7 Dec,65557
8 Dec,66099
9 Dec,66817
10 Dec,67613
11 Dec,68361
12 Dec,69130
13 Dec,69921
14 Dec,70634
15 Dec,71369
16 Dec,72124
17 Dec,72979
18 Dec,73798
19 Dec,74550
20 Dec,75274
21 Dec,76111
22 Dec,76817
23 Dec,77651
24 Dec,78385
25 Dec,79207
26 Dec,80010
27 Dec,80748
28 Dec,81532
29 Dec,82321
30 Dec,83217
31 Dec,84152
1 Jan,85039
2 Jan,85762
3 Jan,86361
4 Jan,87070
5 Jan,87797
6 Jan,88642
7 Jan,89590
8 Jan,90615
9 Jan,91609
10 Jan,92613
11 Jan,93405
12 Jan,94249
13 Jan,95064
14 Jan,96045
15 Jan,97243
16 Jan,98403
17 Jan,99377
18 Jan,100225
19 Jan,101197
20 Jan,102152
21 Jan,103286
22 Jan,104342
23 Jan,105261
24 Jan,106162
25 Jan,107050
26 Jan,108017
27 Jan,109081
28 Jan,110103
29 Jan,111109
30 Jan,111939
31 Jan,112795
1 Feb,113488
2 Feb,114335
3 Feb,115071
4 Feb,115750
5 Feb,116549
6 Feb,117294
7 Feb,117851
8 Feb,118436
9 Feb,118876
10 Feb,119479
11 Feb,120523
12 Feb,121299
13 Feb,121859
14 Feb,122375
15 Feb,122807
16 Feb,123280
17 Feb,123860
18 Feb,124419
19 Feb,125592
20 Feb,125592
21 Feb,126033
22 Feb,127013
23 Feb,127013
24 Feb,128149
25 Feb,128149
26 Feb,129135
27 Feb,129135
28 Feb,129459
1 Mar,130212
2 Mar,130212
3 Mar,131046
4 Mar,131046
5 Mar,131843
6 Mar,131843
7 Mar,132499
8 Mar,132499
9 Mar,133289
10 Mar,133289
11 Mar,133971
12 Mar,133971
13 Mar,134595
14 Mar,134595
15 Mar,135143
16 Mar,135143
17 Mar,135803
18 Mar,135803
19 Mar,136397
20 Mar,136397
21 Mar,136959
22 Mar,136959
