Tanggal;Jumlah Kasus Konfirmasi
07/04/2020;2
08/04/2020;2
09/04/2020;2
10/04/2020;2
11/04/2020;2
12/04/2020;2
13/04/2020;1
14/04/2020;1
15/04/2020;1
16/04/2020;1
17/04/2020;2
18/04/2020;2
19/04/2020;2
20/04/2020;2
21/04/2020;2
22/04/2020;2
23/04/2020;2
24/04/2020;2
25/04/2020;2
26/04/2020;2
27/04/2020;2
28/04/2020;3
30/04/2020;1
01/05/2020;1
02/05/2020;1
03/05/2020;1
04/05/2020;1
05/05/2020;1
06/05/2020;1
07/05/2020;1
08/05/2020;1
09/05/2020;1
10/05/2020;1
11/05/2020;1
12/05/2020;1
13/05/2020;1
14/05/2020;1
15/05/2020;1
16/05/2020;2
17/05/2020;2
18/05/2020;2
19/05/2020;2
20/05/2020;2
21/05/2020;2
22/05/2020;2
23/05/2020;2
24/05/2020;2
25/05/2020;2
26/05/2020;3
27/05/2020;3
28/05/2020;3
29/05/2020;1
30/05/2020;1
31/05/2020;1
01/06/2020;1
02/06/2020;1
03/06/2020;1
04/06/2020;1
05/06/2020;3
08/06/2020;1
09/06/2020;1
10/06/2020;1
11/06/2020;3
12/06/2020;3
13/06/2020;3
14/06/2020;3
15/06/2020;3
16/06/2020;3
17/06/2020;3
18/06/2020;3
19/06/2020;1
20/06/2020;9
21/06/2020;9
22/06/2020;3
23/06/2020;3
24/06/2020;1
25/06/2020;1
26/06/2020;5
27/06/2020;2
29/06/2020;1
30/06/2020;1
01/07/2020;16
02/07/2020;2
03/07/2020;2
04/07/2020;2
05/07/2020;2
06/07/2020;31
07/07/2020;3
08/07/2020;23
09/07/2020;1
10/07/2020;1
11/07/2020;1
12/07/2020;1
13/07/2020;2
14/07/2020;2
15/07/2020;15
16/07/2020;3
17/07/2020;2
18/07/2020;8
19/07/2020;2
20/07/2020;2
21/07/2020;6
22/07/2020;3
23/07/2020;5
24/07/2020;2
25/07/2020;2
26/07/2020;2
27/07/2020;2
28/07/2020;19
29/07/2020;16
30/07/2020;1
31/07/2020;20
01/08/2020;1
02/08/2020;1
03/08/2020;1
04/08/2020;1
05/08/2020;2
06/08/2020;1
07/08/2020;4
08/08/2020;3
09/08/2020;1
10/08/2020;1
11/08/2020;1
12/08/2020;4
13/08/2020;2
14/08/2020;2
15/08/2020;2
16/08/2020;5
17/08/2020;5
18/08/2020;5
19/08/2020;2
20/08/2020;5
21/08/2020;5
22/08/2020;3
23/08/2020;2
24/08/2020;1
25/08/2020;2
26/08/2020;2
27/08/2020;2
28/08/2020;4
29/08/2020;5
30/08/2020;5
31/08/2020;3
01/09/2020;5
02/09/2020;5
03/09/2020;5
04/09/2020;7
05/09/2020;6
06/09/2020;6
07/09/2020;6
08/09/2020;6
09/09/2020;6
10/09/2020;8
11/09/2020;7
12/09/2020;4
13/09/2020;4
14/09/2020;4
15/09/2020;4
16/09/2020;3
17/09/2020;3
18/09/2020;6
19/09/2020;7
20/09/2020;10
21/09/2020;8
22/09/2020;9
23/09/2020;9
24/09/2020;8
25/09/2020;6
26/09/2020;3
27/09/2020;3
28/09/2020;3
29/09/2020;3
30/09/2020;7
01/10/2020;4
02/10/2020;3
03/10/2020;3
04/10/2020;3
05/10/2020;3
06/10/2020;5
07/10/2020;8
08/10/2020;7
09/10/2020;4
10/10/2020;4
11/10/2020;3
12/10/2020;2
13/10/2020;5
14/10/2020;10
15/10/2020;8
16/10/2020;5
17/10/2020;2
18/10/2020;2
19/10/2020;3
20/10/2020;6
21/10/2020;10
22/10/2020;4
23/10/2020;1
24/10/2020;1
25/10/2020;1
26/10/2020;3
27/10/2020;5
28/10/2020;5
29/10/2020;4
30/10/2020;6
31/10/2020;4
01/11/2020;4
02/11/2020;5
03/11/2020;6
04/11/2020;5
05/11/2020;5
06/11/2020;4
07/11/2020;4
08/11/2020;6
09/11/2020;5
10/11/2020;7
11/11/2020;6
12/11/2020;6
13/11/2020;5
14/11/2020;4
15/11/2020;5
16/11/2020;4
17/11/2020;5
18/11/2020;2
19/11/2020;8
20/11/2020;8
21/11/2020;6
22/11/2020;5
23/11/2020;3
24/11/2020;10
25/11/2020;8
26/11/2020;7
27/11/2020;6
28/11/2020;3
29/11/2020;3
30/11/2020;3
01/12/2020;10
02/12/2020;9
03/12/2020;5
04/12/2020;18
05/12/2020;18
06/12/2020;35
07/12/2020;47
08/12/2020;26
09/12/2020;34
10/12/2020;48
11/12/2020;16
12/12/2020;4
13/12/2020;4
14/12/2020;17
15/12/2020;18
16/12/2020;27
17/12/2020;56
18/12/2020;30
19/12/2020;29
20/12/2020;17
21/12/2020;10
23/12/2020;1
24/12/2020;33
25/12/2020;29
26/12/2020;38
27/12/2020;16
28/12/2020;13
29/12/2020;16
30/12/2020;25
31/12/2020;43
01/01/2021;62
02/01/2021;13
03/01/2021;6
04/01/2021;11
05/01/2021;26
06/01/2021;5
07/01/2021;26
08/01/2021;11
09/01/2021;13
10/01/2021;5
11/01/2021;21
12/01/2021;4
13/01/2021;33
14/01/2021;10
15/01/2021;40
16/01/2021;29
17/01/2021;24
18/01/2021;7
19/01/2021;9
20/01/2021;8
21/01/2021;12
22/01/2021;3
23/01/2021;48
24/01/2021;15
25/01/2021;3
26/01/2021;12
27/01/2021;9
28/01/2021;16
29/01/2021;22
30/01/2021;16
31/01/2021;19
01/02/2021;19
02/02/2021;4
03/02/2021;4
04/02/2021;20
05/02/2021;12
06/02/2021;2
08/02/2021;3
09/02/2021;8
10/02/2021;4
11/02/2021;3
12/02/2021;21
13/02/2021;7
14/02/2021;7
15/02/2021;7
16/02/2021;2
17/02/2021;2
18/02/2021;2
19/02/2021;2
20/02/2021;6
21/02/2021;6
22/02/2021;2
23/02/2021;8
24/02/2021;1
25/02/2021;1
26/02/2021;1
27/02/2021;2
28/02/2021;1
01/03/2021;1
02/03/2021;1
03/03/2021;2
04/03/2021;1
05/03/2021;2
06/03/2021;1
07/03/2021;2
08/03/2021;1
09/03/2021;1
10/03/2021;2
11/03/2021;1
12/03/2021;1
13/03/2021;1
14/03/2021;1
15/03/2021;1
16/03/2021;2
17/03/2021;6
18/03/2021;1
19/03/2021;1
20/03/2021;1
21/03/2021;1
22/03/2021;2
23/03/2021;2
24/03/2021;2
25/03/2021;2
26/03/2021;1
27/03/2021;1
28/03/2021;1
29/03/2021;1
30/03/2021;1
31/03/2021;3
01/04/2021;3
02/04/2021;3
03/04/2021;3
04/04/2021;3
05/04/2021;3
06/04/2021;2
07/04/2021;2
08/04/2021;2
09/04/2021;2
10/04/2021;1
11/04/2021;1
12/04/2021;1
13/04/2021;1
14/04/2021;2
