Tanggal,Kasus
07-Apr-2020,2
13-Apr-2020,1
17-Apr-2020,2
28-Apr-2020,3
30-Apr-2020,1
01-May-2020,1
09-May-2020,1
16-May-2020,2
26-May-2020,3
29-May-2020,1
30-May-2020,1
31-May-2020,1
05-Jun-2020,3
08-Jun-2020,1
10-Jun-2020,1
11-Jun-2020,3
19-Jun-2020,1
20-Jun-2020,9
22-Jun-2020,3
23-Jun-2020,3
24-Jun-2020,1
25-Jun-2020,1
26-Jun-2020,5
27-Jun-2020,2
29-Jun-2020,1
30-Jun-2020,1
01-Jul-2020,16
02-Jul-2020,2
06-Jul-2020,31
07-Jul-2020,3
08-Jul-2020,23
09-Jul-2020,1
13-Jul-2020,2
14-Jul-2020,2
15-Jul-2020,15
16-Jul-2020,3
17-Jul-2020,2
18-Jul-2020,8
19-Jul-2020,2
21-Jul-2020,6
22-Jul-2020,3
23-Jul-2020,5
24-Jul-2020,2
25-Jul-2020,2
28-Jul-2020,19
29-Jul-2020,16
30-Jul-2020,1
31-Jul-2020,20
01-Aug-2020,1
04-Aug-2020,1
05-Aug-2020,2
06-Aug-2020,1
07-Aug-2020,4
08-Aug-2020,3
09-Aug-2020,1
11-Aug-2020,1
12-Aug-2020,4
13-Aug-2020,2
14-Aug-2020,2
16-Aug-2020,5
17-Aug-2020,5
18-Aug-2020,5
19-Aug-2020,2
20-Aug-2020,5
22-Aug-2020,3
23-Aug-2020,2
24-Aug-2020,1
25-Aug-2020,2
26-Aug-2020,2
27-Aug-2020,2
28-Aug-2020,4
29-Aug-2020,5
30-Aug-2020,5
31-Aug-2020,3
01-Sep-2020,5
02-Sep-2020,5
03-Sep-2020,5
04-Sep-2020,7
05-Sep-2020,6
06-Sep-2020,6
07-Sep-2020,6
08-Sep-2020,6
09-Sep-2020,6
10-Sep-2020,8
11-Sep-2020,7
12-Sep-2020,4
14-Sep-2020,4
15-Sep-2020,4
16-Sep-2020,3
17-Sep-2020,3
18-Sep-2020,6
19-Sep-2020,7
20-Sep-2020,10
21-Sep-2020,8
22-Sep-2020,9
23-Sep-2020,9
24-Sep-2020,8
25-Sep-2020,6
26-Sep-2020,3
27-Sep-2020,3
28-Sep-2020,3
29-Sep-2020,3
30-Sep-2020,7
01-Oct-2020,4
02-Oct-2020,3
03-Oct-2020,3
04-Oct-2020,3
05-Oct-2020,3
06-Oct-2020,5
07-Oct-2020,8
08-Oct-2020,7
09-Oct-2020,4
10-Oct-2020,4
11-Oct-2020,3
12-Oct-2020,2
13-Oct-2020,5
14-Oct-2020,10
15-Oct-2020,8
16-Oct-2020,5
17-Oct-2020,2
18-Oct-2020,2
19-Oct-2020,3
20-Oct-2020,6
21-Oct-2020,10
22-Oct-2020,4
23-Oct-2020,1
24-Oct-2020,1
25-Oct-2020,1
26-Oct-2020,3
27-Oct-2020,5
28-Oct-2020,5
29-Oct-2020,4
30-Oct-2020,6
31-Oct-2020,4
01-Nov-2020,4
02-Nov-2020,5
03-Nov-2020,6
04-Nov-2020,5
05-Nov-2020,5
06-Nov-2020,4
07-Nov-2020,4
08-Nov-2020,6
09-Nov-2020,5
10-Nov-2020,7
11-Nov-2020,6
12-Nov-2020,6
13-Nov-2020,5
14-Nov-2020,4
15-Nov-2020,5
16-Nov-2020,4
17-Nov-2020,5
18-Nov-2020,2
19-Nov-2020,8
20-Nov-2020,8
21-Nov-2020,6
22-Nov-2020,5
23-Nov-2020,3
24-Nov-2020,10
25-Nov-2020,8
26-Nov-2020,7
27-Nov-2020,6
28-Nov-2020,3
29-Nov-2020,3
30-Nov-2020,3
01-Dec-2020,10
02-Dec-2020,9
03-Dec-2020,5
04-Dec-2020,18
05-Dec-2020,18
06-Dec-2020,35
07-Dec-2020,47
08-Dec-2020,26
09-Dec-2020,34
10-Dec-2020,48
11-Dec-2020,16
12-Dec-2020,4
13-Dec-2020,4
14-Dec-2020,17
15-Dec-2020,18
16-Dec-2020,27
17-Dec-2020,56
18-Dec-2020,30
19-Dec-2020,29
20-Dec-2020,17
21-Dec-2020,10
23-Dec-2020,1
24-Dec-2020,33
25-Dec-2020,29
26-Dec-2020,38
27-Dec-2020,16
28-Dec-2020,13
29-Dec-2020,16
30-Dec-2020,25
31-Dec-2020,43
01-Jan-2021,62
02-Jan-2021,13
03-Jan-2021,6
04-Jan-2021,11
05-Jan-2021,26
06-Jan-2021,5
07-Jan-2021,26
08-Jan-2021,11
09-Jan-2021,13
10-Jan-2021,5
11-Jan-2021,21
12-Jan-2021,4
13-Jan-2021,33
14-Jan-2021,10
15-Jan-2021,40
16-Jan-2021,29
17-Jan-2021,24
18-Jan-2021,7
19-Jan-2021,9
20-Jan-2021,8
21-Jan-2021,12
22-Jan-2021,3
23-Jan-2021,48
24-Jan-2021,15
25-Jan-2021,3
26-Jan-2021,12
27-Jan-2021,9
28-Jan-2021,16
29-Jan-2021,22
30-Jan-2021,16
31-Jan-2021,19
02-Feb-2021,4
03-Feb-2021,4
04-Feb-2021,20
05-Feb-2021,12
06-Feb-2021,2
08-Feb-2021,3
09-Feb-2021,8
10-Feb-2021,4
11-Feb-2021,3
12-Feb-2021,21
13-Feb-2021,7
16-Feb-2021,2
19-Feb-2021,2
20-Feb-2021,6
22-Feb-2021,2
23-Feb-2021,8
24-Feb-2021,1
27-Feb-2021,2
28-Feb-2021,1
01-Mar-2021,1
02-Mar-2021,1
03-Mar-2021,2
04-Mar-2021,1
05-Mar-2021,2
06-Mar-2021,1
07-Mar-2021,2
08-Mar-2021,1
10-Mar-2021,2
11-Mar-2021,1
16-Mar-2021,2
17-Mar-2021,6
18-Mar-2021,1
19-Mar-2021,1
22-Mar-2021,2
26-Mar-2021,1
30-Mar-2021,1
31-Mar-2021,3
06-Apr-2021,2
10-Apr-2021,1
14-Apr-2021,2
16-Apr-2021,2
19-Apr-2021,4
20-Apr-2021,2
26-Apr-2021,1
30-Apr-2021,1
01-May-2021,1
03-May-2021,2
07-May-2021,1
08-May-2021,1
